mark,year,mileage,fuel,price,result
7,2021,5,4,91000,0.5
2,2015,133500,3,99000,0.5
5,2010,288000,3,55900,0.5
1,2021,5,2,186900,1.0
22,2017,170000,3,125700,0.75
8,2020,20800,0,62900,0.5
7,2014,61773,2,50000,0.25
20,2011,178838,2,15600,0.25
1,2013,195000,3,49900,0.25
4,2017,113773,3,131900,0.75
10,2012,183000,0,23900,0.25
3,2011,200000,3,25900,0.25
4,2013,216000,3,20900,0.25
2,2018,52000,3,149900,0.75
21,2003,263000,0,4900,0.0
4,2008,240000,3,19000,0.25
4,2010,229000,2,17999,0.25
7,2017,169000,4,48900,0.25
19,2015,92000,2,52900,0.5
2,2016,110000,2,86999,0.5
2,2007,186000,2,18900,0.25
3,2010,192000,2,38900,0.25
1,2017,101885,2,119900,0.75
5,2019,34276,2,135900,0.75
6,2021,8,3,170900,1.0
14,2021,1,2,76600,0.5
0,2021,1,2,80790,0.5
8,2014,131539,0,36900,0.25
6,2010,151818,0,18800,0.25
8,2018,129123,3,41900,0.25
5,2017,62940,3,170355,1.0
14,2019,47000,2,97900,0.5
1,2018,74227,2,124900,0.75
3,2017,132652,3,124900,0.75
15,2019,48320,2,99900,0.5
8,2014,275000,3,36900,0.25
19,2006,125230,2,8900,0.0
7,2009,115036,2,34900,0.25
2,2009,252000,3,69999,0.5
22,2012,75375,3,32999,0.25
2,2000,169000,2,6999,0.0
1,2007,238000,2,16999,0.25
5,2007,231000,2,34950,0.25
2,2016,201000,3,89900,0.5
9,2011,171373,2,27700,0.25
22,2011,231000,3,45000,0.25
21,2008,230730,3,15000,0.25
0,2006,176500,2,13900,0.25
1,2008,325329,3,29500,0.25
20,2003,288000,2,5500,0.0
0,2012,123000,2,16990,0.25
13,2018,56436,3,79900,0.5
2,2021,0,3,404900,1.0
8,2021,16580,2,124990,0.75
20,2008,60000,2,21900,0.25
2,2008,100930,2,21900,0.25
20,2015,179092,3,42900,0.25
22,2012,190000,2,42900,0.25
20,2007,180000,3,12999,0.25
3,2019,71800,2,115700,0.75
3,2005,195875,0,8200,0.0
2,2019,62000,5,125200,0.75
22,2017,95000,3,105900,0.75
8,2010,156000,0,20900,0.25
0,2018,77000,2,62800,0.5
1,2020,15035,4,289900,1.0
20,2017,123210,3,52900,0.5
7,2018,196031,4,64900,0.5
1,2005,277606,2,29900,0.25
22,2010,268920,3,18900,0.25
0,2013,136000,2,31900,0.25
19,2002,230000,2,2800,0.0
4,2008,266268,3,20600,0.25
0,2008,108656,2,14900,0.25
1,2018,80656,3,175000,1.0
1,2020,22411,3,152900,1.0
1,2006,263000,3,28900,0.25
7,2010,142871,2,19900,0.25
6,2017,140247,3,35900,0.25
0,2006,241000,2,29900,0.25
8,2016,109200,2,59900,0.5
2,2007,220000,3,32900,0.25
0,2013,207000,0,29500,0.25
4,2010,123000,2,37800,0.25
14,2010,133844,2,40000,0.25
12,2019,130000,2,34900,0.25
0,2016,53000,0,47000,0.25
20,2014,158007,3,49900,0.25
6,2012,133091,2,29990,0.25
1,2019,23100,2,199000,1.0
3,2016,152880,3,59900,0.5
2,2015,141000,3,139900,0.75
19,1999,316780,3,37000,0.25
1,2020,15094,4,399900,1.0
22,2020,31760,3,194900,1.0
22,2012,128950,3,46500,0.25
8,2018,120000,2,37900,0.25
15,2016,169900,3,44990,0.25
22,2018,47000,2,159900,1.0
12,2010,166439,2,17700,0.25
15,2011,237835,3,48900,0.25
4,2016,47000,2,129900,0.75
0,2011,168000,3,24800,0.25
0,2009,96970,2,19900,0.25
1,2009,181000,2,31900,0.25
14,2022,1,4,163732,1.0
16,2006,167000,2,12800,0.25
6,2016,69520,2,59900,0.5
4,2017,160521,2,42799,0.25
0,2011,230000,3,23500,0.25
0,2011,167380,2,29900,0.25
5,2016,121000,3,123000,0.75
0,2004,206000,2,6500,0.0
19,2011,100245,2,39900,0.25
3,2008,208000,2,11999,0.25
15,2018,143138,3,44900,0.25
0,2010,140017,2,23700,0.25
22,2017,174000,3,154500,1.0
22,2016,99627,3,99799,0.5
5,2003,237665,0,12000,0.25
3,2018,112400,3,64900,0.5
4,2006,195000,2,16999,0.25
0,2012,246000,3,23500,0.25
3,2017,166000,3,119990,0.75
6,2006,104000,2,13000,0.25
4,2008,155423,2,18400,0.25
16,2015,150000,3,69900,0.5
13,2018,25580,2,93900,0.5
0,2006,183000,2,16300,0.25
1,2012,276000,3,70000,0.5
0,2009,171000,2,16200,0.25
1,2013,175000,3,72900,0.5
16,2010,143000,2,27950,0.25
4,2021,1,2,108000,0.75
20,2018,108696,2,99900,0.5
3,2022,5,2,242700,1.0
19,2006,194800,3,17500,0.25
5,2005,264500,2,14700,0.25
15,2021,5,2,68490,0.5
0,2009,235000,2,15800,0.25
1,2012,203000,2,29900,0.25
8,2019,86000,3,79800,0.5
8,2010,296000,3,21900,0.25
22,2011,183000,3,64900,0.5
3,1996,227595,2,11900,0.25
8,2007,143000,3,17900,0.25
20,2008,191000,3,11800,0.25
3,2003,250700,0,8499,0.0
18,2014,159000,3,42900,0.25
3,2005,230000,2,30500,0.25
14,2011,320123,3,24900,0.25
16,2003,147000,2,8900,0.0
2,2006,223157,3,28900,0.25
5,2014,17000,2,249000,1.0
7,2019,48805,4,97400,0.5
0,2014,116000,2,33900,0.25
2,2010,92000,2,127000,0.75
5,2018,35000,3,169000,1.0
2,2015,54505,3,189000,1.0
3,2017,180000,3,83900,0.5
6,2010,109000,2,25500,0.25
5,2021,1,2,243200,1.0
2,2013,85200,2,135900,0.75
19,2015,59121,2,73600,0.5
21,2016,150000,3,39900,0.25
1,2021,5,3,432406,1.0
22,2017,67788,4,270800,1.0
0,2012,161000,3,29900,0.25
12,2007,158283,2,16500,0.25
11,2019,103080,3,84700,0.5
4,2021,6,5,298210,1.0
2,2020,29000,2,255900,1.0
2,2017,191000,3,70000,0.5
1,2003,345000,2,16500,0.25
4,2018,127446,3,42900,0.25
4,2014,153000,3,22900,0.25
0,2021,8,2,119900,0.75
14,2010,172000,3,15700,0.25
22,2016,83500,2,135000,0.75
1,2002,270000,2,28000,0.25
3,2017,79067,3,139900,0.75
1,2021,5239,3,309900,1.0
4,2011,177000,2,27700,0.25
1,2008,317000,3,22900,0.25
5,2018,68500,2,465000,1.0
4,2012,102192,2,21900,0.25
8,2010,105814,2,27000,0.25
3,2020,23000,3,103900,0.75
1,2013,200000,3,65900,0.5
12,2008,251000,2,19900,0.25
16,2007,165300,2,15900,0.25
0,2006,166000,2,12900,0.25
2,2020,14485,2,219900,1.0
3,2015,170000,3,74900,0.5
3,2021,8,2,120710,0.75
15,2021,7000,4,129900,0.75
11,2011,219000,3,26900,0.25
3,2013,187000,2,34990,0.25
6,2017,129800,3,48800,0.25
3,2017,130900,3,79900,0.5
20,2016,190000,3,42800,0.25
3,2021,5,2,281900,1.0
16,2010,197923,2,23900,0.25
2,2003,340300,3,9500,0.0
20,2010,160803,2,27900,0.25
3,2012,197740,3,57900,0.5
7,2014,18,2,82410,0.5
12,2017,67000,0,55800,0.5
5,2014,129000,2,50900,0.5
14,2013,118000,3,52900,0.5
0,2015,73500,2,53800,0.5
5,2021,5,3,369796,1.0
4,2011,197400,0,18500,0.25
12,2017,66350,3,35900,0.25
4,2015,87329,3,72000,0.5
11,2009,213000,3,17900,0.25
15,2012,243000,3,41900,0.25
4,2009,198348,2,12900,0.25
6,2010,219000,3,20900,0.25
22,2009,249000,3,16900,0.25
1,2006,301000,2,26000,0.25
14,2010,77451,2,17900,0.25
4,2006,90000,2,47900,0.25
4,1999,166000,2,2500,0.0
14,2020,31000,2,65000,0.5
11,2013,174000,3,41988,0.25
0,2018,34000,3,110577,0.75
1,2015,67218,2,67900,0.5
22,2019,79045,2,164900,1.0
6,2021,1,0,80300,0.5
8,2015,180000,3,69900,0.5
6,2008,215000,3,14990,0.25
0,2018,110000,0,42900,0.25
2,2002,269000,0,16900,0.25
1,2018,89520,2,84900,0.5
0,2012,230000,3,26900,0.25
5,2006,299000,3,27900,0.25
22,2017,187000,3,153990,1.0
8,2021,1,2,93000,0.5
16,2021,1,2,136700,0.75
3,2010,178000,3,39500,0.25
3,2016,139311,3,89900,0.5
0,2014,111790,3,44500,0.25
2,2019,32500,5,135000,0.75
22,2010,139550,3,24700,0.25
4,2014,57500,2,69900,0.5
4,2017,206345,3,80000,0.5
9,2011,176000,3,30700,0.25
16,2016,33000,2,72900,0.5
1,2015,220745,3,88700,0.5
1,2010,181000,2,43900,0.25
6,2021,5,2,87900,0.5
8,2021,9527,2,60000,0.5
0,2005,272300,2,12900,0.25
12,2011,126000,2,17800,0.25
0,2015,191000,3,37900,0.25
1,2016,129965,3,117700,0.75
2,2015,75000,3,153000,1.0
1,2021,29158,3,179900,1.0
6,2015,107178,2,42900,0.25
5,2020,24200,3,259900,1.0
1,2015,83000,3,59900,0.5
5,2007,198000,3,42900,0.25
0,2012,130000,3,22900,0.25
15,2005,155000,2,6999,0.0
4,2008,162800,3,15900,0.25
16,2009,200000,2,20500,0.25
2,2006,518300,3,34999,0.25
0,2014,123876,3,38000,0.25
2,2003,309687,0,23900,0.25
12,2016,61207,2,46900,0.25
4,2006,177504,3,22900,0.25
3,2022,5,2,120700,0.75
1,2012,63000,2,44500,0.25
1,2009,150000,2,28800,0.25
1,2017,77000,3,135900,0.75
14,2010,196371,2,15900,0.25
18,2006,87000,2,9800,0.0
4,2018,158902,3,64900,0.5
20,2005,165100,2,14800,0.25
15,2013,122000,2,32000,0.25
14,2021,5,2,88650,0.5
1,2020,9100,4,264900,1.0
1,2018,23821,3,117957,0.75
1,2013,198000,3,64900,0.5
20,2007,133000,2,12990,0.25
20,2001,260000,2,5300,0.0
3,2021,1,2,149500,0.75
0,2018,115865,3,47900,0.25
8,2001,131000,2,4900,0.0
1,2006,242500,3,15500,0.25
11,2007,240000,2,14900,0.25
2,2002,233000,3,12500,0.25
21,2013,226000,3,42900,0.25
11,2014,228000,3,44900,0.25
20,2008,284000,3,16900,0.25
4,2014,278223,3,22900,0.25
6,2017,40512,2,74000,0.5
20,2016,185000,2,29900,0.25
3,2017,89554,2,72000,0.5
16,2013,136000,2,53900,0.5
9,2019,13110,2,149700,0.75
22,2020,37946,4,329900,1.0
8,2017,149500,3,99000,0.5
3,2005,190000,0,12800,0.25
1,2012,144000,2,63000,0.5
8,2021,7,2,119600,0.75
3,2011,238000,3,36500,0.25
2,2021,6,2,133000,0.75
4,2017,26000,2,52900,0.5
8,2017,81709,2,77000,0.5
21,2011,167970,2,18900,0.25
5,2013,207000,2,129999,0.75
10,2010,149000,2,19900,0.25
5,2002,127000,2,24900,0.25
0,2012,73551,2,47900,0.25
15,2007,160000,2,11800,0.25
13,2011,60000,2,49900,0.25
2,2016,102500,2,129150,0.75
16,2019,89185,2,79900,0.5
11,2021,3,2,87500,0.5
8,2018,106200,3,94900,0.5
4,2012,64000,2,35900,0.25
0,2018,42293,2,65850,0.5
1,2011,145000,3,30900,0.25
3,2008,355000,3,15500,0.25
21,2017,61738,2,38500,0.25
2,2015,151668,3,116900,0.75
2,2011,220000,3,49800,0.25
3,2016,108000,2,55900,0.5
0,2013,160900,3,34500,0.25
3,2009,192000,3,45900,0.25
19,2010,220962,3,25000,0.25
1,2004,124000,2,21900,0.25
0,2013,149000,2,57900,0.5
16,2010,207400,2,32900,0.25
1,2008,207000,3,28800,0.25
0,2007,191100,2,11500,0.25
7,2010,188300,2,34500,0.25
0,2008,131000,2,21500,0.25
2,2013,200000,3,37990,0.25
2,2006,221600,2,27900,0.25
3,2016,93139,2,78900,0.5
14,2013,136545,3,25000,0.25
5,2021,1,2,554031,1.0
19,2010,148000,2,40900,0.25
2,2008,85000,2,79750,0.5
12,2021,1,2,98900,0.5
6,2021,10,3,175200,1.0
7,2015,230000,2,31900,0.25
4,2010,112000,2,23900,0.25
19,2015,84500,2,76900,0.5
7,2006,216000,3,17000,0.25
1,2003,241480,3,13800,0.25
21,2021,10,2,103900,0.75
22,2019,25488,2,101899,0.75
0,2005,207000,0,15300,0.25
5,2009,128000,2,25900,0.25
1,2017,142200,3,168800,1.0
5,2006,200000,2,18500,0.25
2,2020,25600,2,709000,1.0
20,2013,211368,3,37300,0.25
1,2021,5,3,292395,1.0
12,2006,130034,2,10900,0.25
6,2009,176400,3,14500,0.25
7,2020,1813,2,86400,0.5
0,2003,230000,3,25800,0.25
2,1997,335000,0,8900,0.0
6,2007,160840,0,9100,0.0
1,2009,216000,2,36900,0.25
14,2014,101000,2,50900,0.5
13,2012,107000,2,43990,0.25
4,2013,282000,3,18900,0.25
21,2010,162000,2,18900,0.25
1,2022,10,3,426666,1.0
6,2010,248662,2,18700,0.25
16,2017,30000,2,57000,0.5
15,2021,5000,2,98900,0.5
12,2015,117552,2,23999,0.25
1,2021,10,5,405281,1.0
0,2018,53700,2,63990,0.5
2,2001,279000,2,12900,0.25
2,2018,105600,2,174900,1.0
1,2009,250000,3,27900,0.25
4,2017,9000,2,123000,0.75
5,2021,1,2,360600,1.0
4,2015,46000,2,87500,0.5
22,2016,129000,3,66900,0.5
1,2020,15438,3,156900,1.0
16,2004,167465,2,9900,0.0
21,2013,155080,3,39000,0.25
3,2010,218000,3,25900,0.25
5,2018,135000,3,204900,1.0
2,2006,250000,3,39900,0.25
19,2017,123564,3,82900,0.5
1,2000,121894,3,9950,0.0
21,2014,171900,2,33900,0.25
11,2011,199000,2,18900,0.25
12,2006,191000,2,9700,0.0
1,2021,7,2,196500,1.0
1,2022,10,2,762400,1.0
2,2005,229000,2,29900,0.25
0,2015,191000,3,34900,0.25
18,2008,185320,2,22900,0.25
0,2012,127000,3,26700,0.25
1,2014,261100,3,48800,0.25
4,2005,265185,2,41700,0.25
17,2005,186000,2,10300,0.25
17,2016,95100,2,65000,0.5
14,2017,36000,2,32990,0.25
14,2009,249407,3,11000,0.25
4,2014,78000,2,27999,0.25
1,2019,139000,2,179900,1.0
2,2020,4100,5,195000,1.0
0,2008,123489,2,14400,0.25
11,2021,1,3,125500,0.75
0,2015,91352,2,39900,0.25
1,2008,208000,3,28000,0.25
15,2021,10000,2,82900,0.5
14,2010,132000,3,9900,0.0
15,2020,18649,2,75000,0.5
2,2018,76495,2,87900,0.5
0,2012,168734,3,9900,0.0
3,2003,252000,2,14900,0.25
21,2006,175000,2,15900,0.25
17,2019,23181,2,89800,0.5
2,1995,304000,0,17900,0.25
8,2018,69326,0,49000,0.25
0,2015,187000,3,40900,0.25
5,2002,335000,3,8500,0.0
0,2010,124000,2,20900,0.25
6,2005,230000,0,9999,0.0
13,1998,280324,2,8900,0.0
5,1999,288958,0,12900,0.25
2,2013,123000,3,45900,0.25
3,2001,199000,2,8900,0.0
14,2019,42191,2,55900,0.5
15,2012,153477,2,49900,0.25
7,2019,17000,2,57500,0.5
6,2008,255000,3,12800,0.25
0,2013,231214,3,34900,0.25
20,2010,268000,3,27990,0.25
14,2018,160000,3,59900,0.5
0,2017,179091,3,35000,0.25
0,2021,6,2,71900,0.5
1,2010,249000,3,52000,0.5
18,2017,51396,2,61900,0.5
7,2001,188500,2,19900,0.25
1,2015,48300,2,68000,0.5
5,2010,233000,3,28700,0.25
21,2011,157000,2,14900,0.25
17,2011,138591,2,34900,0.25
4,2010,182000,2,17900,0.25
13,2006,311000,3,16500,0.25
18,2016,99200,2,18900,0.25
6,2005,113800,2,9900,0.0
5,1992,201000,2,36900,0.25
4,2007,185000,3,12800,0.25
5,2019,208100,3,154900,1.0
10,2012,214750,3,22400,0.25
14,2010,178000,2,18900,0.25
3,2017,164000,2,89800,0.5
11,2009,224000,3,21000,0.25
3,2009,165000,2,26500,0.25
15,2016,45559,2,70900,0.5
8,2010,139000,2,31900,0.25
5,2020,32000,2,245139,1.0
9,2008,313100,3,13400,0.25
4,2004,113000,2,7500,0.0
20,2020,106,5,123360,0.75
0,2006,248567,2,6800,0.0
6,2011,148000,2,30900,0.25
2,2021,16700,3,455100,1.0
4,2013,169000,2,24900,0.25
22,2020,16100,3,249900,1.0
6,2005,222000,0,11900,0.25
0,2014,190000,0,34899,0.25
4,2012,104000,2,39900,0.25
22,2019,30000,2,219900,1.0
2,2008,261000,3,7499,0.0
5,2012,205000,3,45800,0.25
2,2021,5,2,899000,1.0
15,2007,127750,2,15000,0.25
2,2007,260000,2,26999,0.25
11,2010,152000,0,24500,0.25
4,2013,151000,2,28900,0.25
21,2012,159234,2,22500,0.25
12,2013,146000,3,39999,0.25
2,2015,121993,3,75900,0.5
8,2018,75800,0,49900,0.25
1,2006,223000,3,18900,0.25
3,2006,368000,3,14900,0.25
4,2008,198000,2,11900,0.25
8,2015,202000,3,21400,0.25
12,2008,82123,2,22000,0.25
13,2021,2,4,169900,1.0
0,2021,10571,2,89900,0.5
22,2012,159007,3,47900,0.25
